Response_Date,Month,WeekNo,DOW,Hour,Shift,Priority_Number,Problem,Agency,MethodOfCallRcvd,T2Q,T2Disp,ProcTime
2020-01-01 03:05:41.000,January,1,Wed,3,NIGHT,4,NOISE COMPLAINT DELAY,POLICE,Phone,131,1456,134
2020-01-01 03:06:07.000,January,1,Wed,3,NIGHT,4,NOISE COMPLAINT DELAY,POLICE,E-911,96,2555,96
2020-01-01 03:08:17.000,January,1,Wed,3,NIGHT,2,OVERDOSE ALS 2,EMS,Phone,113,4,456
2020-01-01 03:27:44.000,January,1,Wed,3,NIGHT,2,DISORDERLY CONDUCT,POLICE,Phone,97,178,100
2020-01-01 03:39:51.000,January,1,Wed,3,NIGHT,2,TROUBLE UNKNOWN NO EMS,POLICE,Phone,177,74,211
2020-01-01 03:47:24.000,January,1,Wed,3,NIGHT,2,MISSING PERSON IMMEDIATE,POLICE,E-911,173,355,239
2020-01-01 04:08:47.000,January,1,Wed,4,NIGHT,1,DOMESTIC VIOL NO INJ,POLICE,Phone,73,19,92
2020-01-01 04:09:50.000,January,1,Wed,4,NIGHT,2,FLAG DOWN,POLICE,NULL,0,0,0
2020-01-01 04:12:22.000,January,1,Wed,4,NIGHT,4,PUBLIC SERVICE EMS,EMS,E-911,85,3,552
2020-01-01 04:14:21.000,January,1,Wed,4,NIGHT,1,ALARM RESIDENTIAL NIGHTIME,POLICE,,47,61,61
2020-01-01 04:35:43.000,January,1,Wed,4,NIGHT,4,ASSIST CITIZEN DELAY,POLICE,Phone,69,18,95
2020-01-01 05:05:27.000,January,1,Wed,5,NIGHT,2,ALARM COMMERCIAL,POLICE,Phone,47,47,68
2020-01-01 05:08:14.000,January,1,Wed,5,NIGHT,2,WARRANT SERVICE,POLICE,,108,87,118
2020-01-01 05:20:00.000,January,1,Wed,5,NIGHT,2,ALARM COMMERCIAL,POLICE,Phone,38,315,52
2020-01-01 09:29:44.000,January,1,Wed,9,DAY,3,INJURED PERSON BLS,EMS,Phone,0,1,0
2020-01-01 09:35:50.000,January,1,Wed,9,DAY,1,GAS LEAK - INSIDE,FIRE,,110,3,139
2020-01-01 10:15:34.000,January,1,Wed,10,DAY,2,TRAFFIC STOP,POLICE,NULL,0,0,0
2020-01-01 10:25:56.000,January,1,Wed,10,DAY,2,TRAFFIC STOP,POLICE,NULL,0,0,0
2020-01-01 10:36:22.000,January,1,Wed,10,DAY,2,MVC PROPERTY DAMAGE,POLICE,,61,25,61
2020-01-01 11:22:25.000,January,1,Wed,11,DAY,2,DOMESTIC VIOL NO INJ,POLICE,,78,17,1296
2020-01-01 11:28:31.000,January,1,Wed,11,DAY,4,PROPERTY FOUND,POLICE,Phone,36,476,49
2020-01-01 11:31:53.000,January,1,Wed,11,DAY,1,HIGHRISE BUILDING FIRE,FIRE,E-911,49,6,270
2020-01-01 11:32:43.000,January,1,Wed,11,DAY,3,TRAFFIC DIRECTION-FIRE,POLICE,,0,149,0
2020-01-01 11:45:39.000,January,1,Wed,11,DAY,1,MISSING PERSON CRITICAL,POLICE,,58,35,280
2020-01-01 12:43:35.000,January,1,Wed,12,DAY,2,911 HANG UP,POLICE,,182,789,1060
2020-01-01 12:58:28.000,January,1,Wed,12,DAY,4,PROPERTY FOUND,POLICE,,13,15,34
2020-01-01 13:24:05.000,January,1,Wed,13,DAY,3,SICK PERSON BLS,EMS,,86,1,139
2020-01-01 13:35:06.000,January,1,Wed,13,DAY,1,TROUBLE BREATHING ALS 2,EMS,E-911,60,1,287
2020-01-01 14:57:27.000,January,1,Wed,14,DAY,1,WEAPON VIOL KNIFE IN PROG,POLICE,,134,32,298
2020-01-01 15:15:11.000,January,1,Wed,15,DAY,1,UNCONSCIOUS ALS 2,EMS,Text,-1,1,-1
2020-01-01 15:16:36.000,January,1,Wed,15,DAY,5,LARCENY FROM AUTO TRU,POLICE,,160,19,160
2020-01-01 15:20:59.000,January,1,Wed,15,DAY,2,TROUBLE UNKNOWN NO EMS,POLICE,,149,205,168
2020-01-01 15:56:10.000,January,1,Wed,15,DAY,1,TROUBLE BREATHING ALS 2,EMS,,80,1,173
2020-01-01 15:56:15.000,January,1,Wed,15,DAY,4,DEST OF PROP RES DELAY,POLICE,,16,137,38
2020-01-01 16:09:09.000,January,1,Wed,16,DAY,4,DRUG COMPLAINT DELAY,POLICE,,11,18,25
2020-01-01 17:20:05.000,January,1,Wed,17,DAY,4,PROTECTIVE ORDER ISSUED,POLICE,,12,14050,39
2020-01-01 17:24:57.000,January,1,Wed,17,DAY,4,PROTECTIVE ORDER ISSUED,POLICE,,13,4,36
2020-01-01 17:51:02.000,January,1,Wed,17,DAY,4,ASSIST CITIZEN DELAY,POLICE,,151,124,153
2020-01-01 20:18:02.000,January,1,Wed,20,NIGHT,1,HEART PROBLEMS ALS 2,EMS,E-911,130,47,130
2020-01-01 23:38:48.000,January,1,Wed,23,NIGHT,3,ELEVATOR,FIRE,E-911,37,1,207
2020-01-02 00:09:03.000,January,1,Thu,0,NIGHT,3,SICK PERSON BLS,EMS,E-911,207,0,207
2020-01-02 00:59:03.000,January,1,Thu,0,NIGHT,4,NOISE COMPLAINT DELAY,POLICE,Phone,67,372,68
2020-01-02 04:42:35.000,January,1,Thu,4,NIGHT,4,ASSAULT NO INJURY DELAY,POLICE,,14,17,33
2020-01-02 11:34:29.000,January,1,Thu,11,DAY,4,PARKING COMPLAINT,POLICE,,878,265,880
2020-01-02 12:19:36.000,January,1,Thu,12,DAY,4,POLICE INFORMATION,POLICE,E-911,69,110,704
2020-01-02 12:46:02.000,January,1,Thu,12,DAY,3,TELEPHONE COMPLAINT,POLICE,Phone,212,1625,310
2020-01-02 13:04:05.000,January,1,Thu,13,DAY,3,ASSIST CITIZEN PROMPT,POLICE,,485,366,516
2020-01-02 13:28:42.000,January,1,Thu,13,DAY,1,CHEST PAIN ALS 2,EMS,,53,4,333
2020-01-02 14:25:29.000,January,1,Thu,14,DAY,2,TRAFFIC STOP,POLICE,NULL,0,0,0
2020-01-02 14:28:07.000,January,1,Thu,14,DAY,2,ASSAULT NO INJURY IN PROG,POLICE,,27,8468,49
2020-01-02 14:36:12.000,January,1,Thu,14,DAY,2,ASSIST CITIZEN PROMPT,POLICE,,11,5,71
2020-01-02 14:50:13.000,January,1,Thu,14,DAY,2,MVC PROPERTY DAMAGE,POLICE,,23,7,92
2020-01-02 17:54:12.000,January,1,Thu,17,DAY,2,DISORDERLY CONDUCT,POLICE,,12,16,32
2020-01-02 18:06:26.000,January,1,Thu,18,DAY,4,ASSIST CITIZEN DELAY,POLICE,,91,2272,92
2020-01-02 18:22:07.000,January,1,Thu,18,DAY,1,TROUBLE BREATHING ALS 2,EMS,,143,4,270
2020-01-02 18:26:50.000,January,1,Thu,18,DAY,2,CHEST INJURY ALS 2,EMS,,0,3,0
2020-01-02 18:30:53.000,January,1,Thu,18,DAY,8,OFF DUTY DETAIL,POLICE,,13,8,35
2020-01-02 18:51:02.000,January,1,Thu,18,DAY,2,ASSAULT NO INJURY IN PROG,POLICE,,40,49,41
2020-01-02 19:05:35.000,January,1,Thu,19,NIGHT,2,MVC PROPERTY DAMAGE,POLICE,,518,54,521
2020-01-02 19:10:13.000,January,1,Thu,19,NIGHT,1,TROUBLE BREATHING ALS 2,EMS,,33,1,234
2020-01-02 19:18:34.000,January,1,Thu,19,NIGHT,2,DISORDERLY CONDUCT,POLICE,,97,84,198
2020-01-02 19:39:33.000,January,1,Thu,19,NIGHT,4,ASSIST CITIZEN DELAY,POLICE,,189,60,482
2020-01-02 19:48:08.000,January,1,Thu,19,NIGHT,3,PROPERTY FOUND,POLICE,,87,32,100
2020-01-02 19:57:58.000,January,1,Thu,19,NIGHT,2,MVC CITY PROPERTY DAMAGE,POLICE,,13,14,60
2020-01-02 20:59:25.000,January,1,Thu,20,NIGHT,2,ASSIST CITIZEN PROMPT,POLICE,,208,135,212
2020-01-02 21:03:25.000,January,1,Thu,21,NIGHT,4,PARKING COMPLAINT,POLICE,,55,967,60
2020-01-02 21:11:01.000,January,1,Thu,21,NIGHT,3,SICK PERSON BLS,EMS,,34,1,67
2020-01-02 21:25:29.000,January,1,Thu,21,NIGHT,2,ALARM COMMERCIAL,POLICE,,36,38,91
2020-01-02 21:46:19.000,January,1,Thu,21,NIGHT,4,NOISE COMPLAINT DELAY,POLICE,,78,1036,80
2020-01-02 21:59:34.000,January,1,Thu,21,NIGHT,4,ASSIST CITIZEN DELAY,POLICE,Phone,84,57,84
2020-01-02 22:29:52.000,January,1,Thu,22,NIGHT,2,DISORDERLY CONDUCT,POLICE,Phone,85,153,85
2020-01-02 23:08:08.000,January,1,Thu,23,NIGHT,1,ALARM RESIDENTIAL NIGHTIME,POLICE,Phone,59,58,78
2020-01-02 23:28:15.000,January,1,Thu,23,NIGHT,1,TROUBLE BREATHING ALS 2,EMS,Phone,70,2,128
2020-01-02 23:30:35.000,January,1,Thu,23,NIGHT,2,SUSPICIOUS EVENT,POLICE,Phone,141,147,141
2020-01-02 23:36:02.000,January,1,Thu,23,NIGHT,2,MENTAL HEALTH CASE,POLICE,Phone,75,217,75
2020-01-02 23:59:25.000,January,1,Thu,23,NIGHT,1,TROUBLE BREATHING ALS 2,EMS,Phone,66,3,66
2020-01-03 00:19:00.000,January,1,Fri,0,NIGHT,2,SUSPICIOUS EVENT,POLICE,Phone,316,75,407
2020-01-03 00:31:41.000,January,1,Fri,0,NIGHT,2,TRAFFIC STOP,POLICE,NULL,0,0,0
2020-01-03 01:10:47.000,January,1,Fri,1,NIGHT,2,DOMESTIC VIOL NO INJ,POLICE,Phone,36,110,3706
2020-01-03 01:57:19.000,January,1,Fri,1,NIGHT,2,SUBJECT STOP,POLICE,NULL,0,0,0
2020-01-03 02:13:00.000,January,1,Fri,2,NIGHT,2,ASSIST OUTSIDE AGENCY,POLICE,Phone,75,120,76
2020-01-03 06:01:02.000,January,1,Fri,6,DAY,8,OFF DUTY DETAIL,POLICE,NULL,0,0,0
2020-01-03 06:11:43.000,January,1,Fri,6,DAY,3,BACK PAIN BLS,EMS,,54,1,286
2020-01-03 06:46:39.000,January,1,Fri,6,DAY,8,OFF DUTY DETAIL,POLICE,NULL,0,0,0
2020-01-03 08:18:36.000,January,1,Fri,8,DAY,4,ASSIST CITIZEN DELAY,POLICE,Phone,263,4264,285
2020-01-03 08:31:57.000,January,1,Fri,8,DAY,2,MVC AUTO,FIRE,,203,3,327
2020-01-03 08:44:34.000,January,1,Fri,8,DAY,4,DEST OF PROP COM DELAY,POLICE,OFFICER,12,18,38
2020-01-03 08:53:38.000,January,1,Fri,8,DAY,2,ASSIST OUTSIDE AGENCY,POLICE,,19,5,25
2020-01-03 08:56:38.000,January,1,Fri,8,DAY,4,PARKING COMPLAINT,POLICE,Phone,59,1443,88
2020-01-03 09:01:34.000,January,1,Fri,9,DAY,8,OFF DUTY DETAIL,POLICE,,29,12,43
2020-01-03 09:17:37.000,January,1,Fri,9,DAY,4,PARKING COMPLAINT,POLICE,Phone,38,968,41
2020-01-03 09:17:49.000,January,1,Fri,9,DAY,4,PARKING COMPLAINT,POLICE,Phone,234,2099,240
2020-01-03 09:27:16.000,January,1,Fri,9,DAY,2,SUSPICIOUS EVENT,POLICE,Phone,193,30,198
2020-01-03 09:48:07.000,January,1,Fri,9,DAY,4,PARKING COMPLAINT,POLICE,Phone,55,80,156
2020-01-03 09:58:30.000,January,1,Fri,9,DAY,3,SICK PERSON BLS,EMS,E-911,192,1,346
2020-01-03 10:04:24.000,January,1,Fri,10,DAY,3,ANIMAL DECEASED,POLICE,Phone,63,97,63
2020-01-03 10:08:07.000,January,1,Fri,10,DAY,4,PROPERTY LOST,POLICE,Phone,51,1173,88
2020-01-03 10:08:22.000,January,1,Fri,10,DAY,2,TRAFFIC STOP,POLICE,NULL,0,0,0
2020-01-03 10:13:31.000,January,1,Fri,10,DAY,5,MVC HIT/RUN TRU,POLICE,,784,5,784
2020-01-03 10:29:58.000,January,1,Fri,10,DAY,4,FALSE PRETENSE/SWINDLE DELAY,POLICE,Phone,75,1967,81
2020-01-03 10:30:49.000,January,1,Fri,10,DAY,1,TROUBLE BREATHING ALS 2,EMS,E-911,68,2,174
2020-01-03 10:33:17.000,January,1,Fri,10,DAY,1,TROUBLE BREATHING ALS 2,EMS,E-911,48,1,180
2020-01-03 10:38:30.000,January,1,Fri,10,DAY,4,PROPERTY FOUND,POLICE,Phone,101,72,104
2020-01-03 10:42:43.000,January,1,Fri,10,DAY,3,ASSIST CITIZEN PROMPT,POLICE,,102,146,107
2020-01-03 10:48:59.000,January,1,Fri,10,DAY,3,SICK PERSON BLS,EMS,,37,1,221
2020-01-03 11:10:02.000,January,1,Fri,11,DAY,2,TRAFFIC STOP,POLICE,NULL,0,0,0
2020-01-03 11:10:53.000,January,1,Fri,11,DAY,3,FIRE ALARM,FIRE,Phone,68,2,82
2020-01-03 11:11:48.000,January,1,Fri,11,DAY,2,TRAFFIC STOP,POLICE,NULL,0,0,0
2020-01-03 11:16:22.000,January,1,Fri,11,DAY,4,CREDIT CARD FRAUD DELAY,POLICE,Phone,48,111,54
2020-01-03 11:22:37.000,January,1,Fri,11,DAY,1,ALARM HOLDUP,POLICE,,30,130,101
2020-01-03 11:24:12.000,January,1,Fri,11,DAY,2,TRAFFIC STOP,POLICE,NULL,0,0,0
2020-01-03 11:38:56.000,January,1,Fri,11,DAY,1,HEART PROBLEMS ALS 2,EMS,,43,2,119
2020-01-03 11:57:06.000,January,1,Fri,11,DAY,3,POLICE INFORMATION,POLICE,,71,3578,89
2020-01-03 11:59:17.000,January,1,Fri,11,DAY,4,PROPERTY FOUND,POLICE,NULL,0,0,0
2020-01-03 12:00:50.000,January,1,Fri,12,DAY,1,CARDIAC ARREST ALS 2- SUPV,EMS,,26,3,542
2020-01-03 12:01:00.000,January,1,Fri,12,DAY,3,FALL BLS,EMS,E-911,118,4,1276
2020-01-03 12:01:15.000,January,1,Fri,12,DAY,3,ASSIST FIRE - PROMPT,POLICE,,0,41,0
2020-01-03 12:24:19.000,January,1,Fri,12,DAY,3,FALL BLS,EMS,,25,2,461
2020-01-03 12:26:40.000,January,1,Fri,12,DAY,2,ASSIST FIRE - IMMEDIATE,POLICE,,0,65,0
2020-01-03 12:31:50.000,January,1,Fri,12,DAY,3,SICK PERSON BLS,EMS,,40,0,391
2020-01-03 12:39:14.000,January,1,Fri,12,DAY,3,PARKING COMPLAINT,POLICE,,112,496,113
2020-01-03 12:47:49.000,January,1,Fri,12,DAY,4,PARKING COMPLAINT,POLICE,,126,1104,543
2020-01-03 12:54:49.000,January,1,Fri,12,DAY,2,TRAFFIC STOP,POLICE,NULL,0,0,0
2020-01-03 12:57:56.000,January,1,Fri,12,DAY,4,IDENTITY FRAUD DELAY,POLICE,Phone,278,4663,310
2020-01-03 13:01:08.000,January,1,Fri,13,DAY,2,DISORDERLY CONDUCT,POLICE,Phone,119,47,177
2020-01-03 13:03:25.000,January,1,Fri,13,DAY,3,SICK PERSON BLS,EMS,Phone,0,2,0
2020-01-03 13:13:30.000,January,1,Fri,13,DAY,4,PARKING COMPLAINT,POLICE,Phone,46,4749,55
2020-01-03 13:14:08.000,January,1,Fri,13,DAY,4,LARCENY RESIDENTIAL DELAY,POLICE,,180,9218,241
2020-01-03 13:14:32.000,January,1,Fri,13,DAY,2,ALARM COMMERCIAL,POLICE,Phone,177,935,203
2020-01-03 13:19:55.000,January,1,Fri,13,DAY,2,FIGHT NO WEAPONS,POLICE,E-911,95,43,129
2020-01-03 13:39:11.000,January,1,Fri,13,DAY,2,DISORDERLY CONDUCT,POLICE,E-911,76,124,236
2020-01-03 13:42:54.000,January,1,Fri,13,DAY,2,DIP - DRUNK/INTOX PERSON,POLICE,,9,64,311
2020-01-03 13:56:47.000,January,1,Fri,13,DAY,4,MVC HIT/RUN NO INJ DELAY,POLICE,Cell Phone,184,1003,186
2020-01-03 13:58:32.000,January,1,Fri,13,DAY,3,SICK PERSON BLS,EMS,,0,1,0
2020-01-03 13:59:38.000,January,1,Fri,13,DAY,2,MVC PROPERTY DAMAGE,POLICE,E-911,99,446,104
2020-01-03 14:12:22.000,January,1,Fri,14,DAY,4,PARKING COMPLAINT,POLICE,Cell Phone,80,2985,82
2020-01-03 14:15:40.000,January,1,Fri,14,DAY,4,MVC HIT/RUN NO INJ DELAY,POLICE,Phone,237,14728,245
2020-01-03 14:25:02.000,January,1,Fri,14,DAY,2,TRAFFIC STOP,POLICE,NULL,0,0,0
2020-01-03 14:28:30.000,January,1,Fri,14,DAY,3,LACERATION BLS,EMS,,65,1,225
2020-01-03 14:29:03.000,January,1,Fri,14,DAY,1,UNKNOWN MEDICAL ALS 1 - SUPV,EMS,Cell Phone,63,2,604
2020-01-03 14:30:52.000,January,1,Fri,14,DAY,2,MVC PROPERTY DAMAGE,POLICE,Phone,79,25,81
2020-01-03 14:31:31.000,January,1,Fri,14,DAY,2,DISORDERLY CONDUCT,POLICE,,121,20,388
2020-01-03 14:36:42.000,January,1,Fri,14,DAY,2,WARRANT SERVICE,POLICE,,8,5,22
2020-01-03 14:39:10.000,January,1,Fri,14,DAY,3,BOOT REMOVAL,POLICE,Phone,105,1236,141
2020-01-03 14:41:32.000,January,1,Fri,14,DAY,4,ASSIST CITIZEN DELAY,POLICE,Cell Phone,162,3627,3202
2020-01-03 14:46:30.000,January,1,Fri,14,DAY,2,TROUBLE UNKNOWN EMS,POLICE,,50,54,50
2020-01-03 14:47:19.000,January,1,Fri,14,DAY,1,UNKNOWN MEDICAL ALS 1 - SUPV,EMS,,0,3,0
2020-01-03 15:03:34.000,January,1,Fri,15,DAY,2,MENTAL HEALTH CASE,POLICE,,51,38,226
2020-01-03 15:17:54.000,January,1,Fri,15,DAY,3,SICK PERSON BLS,EMS,,49,2,125
2020-01-03 15:24:27.000,January,1,Fri,15,DAY,4,POLICE INFORMATION,POLICE,E-911,145,60,1226
2020-01-03 15:36:29.000,January,1,Fri,15,DAY,3,LARCENY OTHER DELAY,POLICE,Phone,370,693,371
2020-01-03 15:48:02.000,January,1,Fri,15,DAY,4,PARKING COMPLAINT,POLICE,Cell Phone,83,331,657
2020-01-03 15:53:12.000,January,1,Fri,15,DAY,1,TROUBLE BREATHING ALS 2,EMS,,54,1,345
2020-01-03 15:55:27.000,January,1,Fri,15,DAY,5,LARCENY OTHER TRU,POLICE,,1840,5,1840
2020-01-03 16:01:33.000,January,1,Fri,16,DAY,4,PUBLIC SERVICE EMS,EMS,,179,2,543
2020-01-03 16:07:55.000,January,1,Fri,16,DAY,4,ASSIST CITIZEN DELAY,POLICE,Radio,19,16,40
2020-01-03 16:08:18.000,January,1,Fri,16,DAY,4,PARKING COMPLAINT,POLICE,Phone,47,470,48
2020-01-03 16:09:39.000,January,1,Fri,16,DAY,4,GLA DELAY,POLICE,E-911,163,789,811
2020-01-03 16:11:22.000,January,1,Fri,16,DAY,2,MVC PROPERTY DAMAGE,POLICE,,45,374,78
2020-01-03 16:28:23.000,January,1,Fri,16,DAY,4,ASSIST CITIZEN DELAY,POLICE,Phone,140,2155,141
2020-01-03 16:29:14.000,January,1,Fri,16,DAY,4,LARCENY FROM AUTO DELAY,POLICE,,124,2220,124
2020-01-03 16:40:30.000,January,1,Fri,16,DAY,2,MVC AUTO,FIRE,Phone,83,5,154
2020-01-03 16:44:00.000,January,1,Fri,16,DAY,4,ANIMAL COMPLAINT,POLICE,,35,34,72
2020-01-03 16:44:09.000,January,1,Fri,16,DAY,2,MVC PROPERTY DAMAGE,POLICE,E-911,46,43,58
2020-01-03 16:45:33.000,January,1,Fri,16,DAY,2,WARRANT SERVICE,POLICE,Phone,144,274,173
2020-01-03 16:48:22.000,January,1,Fri,16,DAY,2,WARRANT SERVICE,POLICE,Radio,52,1,83
2020-01-03 17:01:34.000,January,1,Fri,17,DAY,4,PARKING COMPLAINT,POLICE,Phone,119,325,131
2020-01-03 17:06:21.000,January,1,Fri,17,DAY,2,LARCENY COMM IN PROG,POLICE,Phone,195,73,1951
2020-01-03 17:16:01.000,January,1,Fri,17,DAY,2,DRUG COMPLAINT IN PROG,POLICE,Radio,139,222,148
2020-01-03 17:31:55.000,January,1,Fri,17,DAY,3,SICK PERSON BLS,EMS,,45,1,1366
2020-01-03 17:35:43.000,January,1,Fri,17,DAY,1,ALTERED LOC ALS 2,EMS,E-911,83,2,186
2020-01-03 17:35:52.000,January,1,Fri,17,DAY,2,ASSIST CITIZEN PROMPT,POLICE,E-911,81,166,90
2020-01-03 17:42:02.000,January,1,Fri,17,DAY,2,ALARM RESIDENTIAL,POLICE,Phone,75,68,81
2020-01-03 17:45:57.000,January,1,Fri,17,DAY,3,PUBLIC SERVICE ONE OFFICER,POLICE,Phone,165,504,190
2020-01-03 17:55:43.000,January,1,Fri,17,DAY,4,LARCENY OTHER DELAY,POLICE,Phone,235,3628,237
2020-01-03 18:24:17.000,January,1,Fri,18,DAY,8,OFF DUTY DETAIL,POLICE,NULL,0,0,0
2020-01-03 18:29:21.000,January,1,Fri,18,DAY,2,TROUBLE UNKNOWN EMS,POLICE,,96,180,389
2020-01-03 18:30:57.000,January,1,Fri,18,DAY,1,UNKNOWN MEDICAL ALS 1 - SUPV,EMS,,0,6,0
2020-01-03 18:35:35.000,January,1,Fri,18,DAY,3,ASSAULT NO INJURY DELAY,POLICE,Phone,110,126,446
2020-01-03 19:11:39.000,January,1,Fri,19,NIGHT,2,MVC PROPERTY DAMAGE,POLICE,,98,587,182
2020-01-03 19:21:18.000,January,1,Fri,19,NIGHT,2,DIP - DRUNK/INTOX PERSON,POLICE,,107,467,207
2020-01-03 19:28:16.000,January,1,Fri,19,NIGHT,2,TRAFFIC STOP,POLICE,NULL,0,0,0
2020-01-03 19:47:04.000,January,1,Fri,19,NIGHT,4,PUBLIC SERVICE EMS,EMS,,197,1,211
2020-01-03 19:48:52.000,January,1,Fri,19,NIGHT,2,TRAFFIC STOP,POLICE,NULL,0,0,0
2020-01-03 19:53:19.000,January,1,Fri,19,NIGHT,2,DISORDERLY CONDUCT,POLICE,,66,48,330
2020-01-03 19:53:49.000,January,1,Fri,19,NIGHT,2,TRAFFIC STOP,POLICE,NULL,0,0,0
2020-01-03 19:56:51.000,January,1,Fri,19,NIGHT,2,DISORDERLY CONDUCT,POLICE,,70,46,115
2020-01-03 20:03:43.000,January,1,Fri,20,NIGHT,3,LARCENY COMMERCIAL DELAY,POLICE,,226,344,226
2020-01-03 20:04:35.000,January,1,Fri,20,NIGHT,1,GAS LEAK - INSIDE,FIRE,,62,2,177
2020-01-03 20:07:48.000,January,1,Fri,20,NIGHT,4,LARCENY RESIDENTIAL DELAY,POLICE,,30,7697,30
2020-01-03 20:19:58.000,January,1,Fri,20,NIGHT,2,DEST OF PROP OTH IN PROG,POLICE,,132,175,241
2020-01-03 20:25:10.000,January,1,Fri,20,NIGHT,2,DISORDERLY CONDUCT,POLICE,,58,754,194
2020-01-03 20:28:33.000,January,1,Fri,20,NIGHT,3,INJURED PERSON BLS,EMS,,0,1,0
2020-01-03 20:30:37.000,January,1,Fri,20,NIGHT,2,ASSIST OUTSIDE AGENCY,POLICE,,180,673,180
